Reference, Value, Footprint, Datasheet
"RL9","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"J12","PD_PWR","Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm","~"
"RL8","HFD4","Custom:HFD4-5","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf"
"U9","INA219","Custom:INA219 Module","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"J13","INA219","Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm","~"
"J16","STEPPWR","Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm","~"
"J10","RB0","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"R32","0","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J4","T_Serial","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R28","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R19","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R20","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J15","T_VBUS","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"R23","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J6","SW_Spare","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J7","OLED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R24","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U10","4066","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/cd4066b.pdf"
"J14","T_Spare","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"Q5","BS170","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"Q4","BS170","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"R31","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R30","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R33","4K7","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R36","4K7","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J17","4066","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R21","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R22","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
